No,Nombre Generico (principio activo / composicion),Concentracion maxima,Forma Farmaceutica,Observaciones / Recomendaciones
126,HIDROXIDO DE MAGNESIO,480 mg / 5 mL,SUSPENSION ORAL,No usar de manera cronica. No usar como laxante en ninos.
127,HIDROXIDO DE MAGNESIO + OXIDO DE MAGNESIO,1.08 g + 4.68 g / 8 g,POLVO PARA SUSPENSION ORAL,No administrar en menores de 15 anos. Si luego de tres dias persisten los sintomas se debe acudir a un medico o a la unidad de salud mas cercana. No administrar en personas con estrenimiento.
128,HIDROXIPROPIL GUAR,6 mg / mL,SOLUCION OFTALMICA,No superar la dosis recomendada.
129,HIDROXIPROPIL METIL CELULOSA + DEXTRAN,3 mg + 1 mg / mL,SOLUCION OFTALMICA,No superar la dosis recomendada.
130,HIERRO COMO COMPLEJO DE HIERRO III,100 mg,TABLETA / COMPRIMIDOS MASTICABLES,No superar la dosis recomendada.
131,IBUPROFENO,100 mg / 5 mL,SUSPENSION,"No usar en ninos menores de dos anos. En los ninos mayores de dos anos no usar por mas de 48 horas. Puede producir problemas gastrointestinales, renales y hepaticos."
132,IBUPROFENO,400 mg,CAPLETA / GRAGEA / TABLETA / COMPRIMIDOS / CAPSULA,"No usar conjuntamente con otros analgesicos, su uso prolongado puede producir problemas gastrointestinales o hepaticos. No ingerir mas de 1200 mg al dia."
133,IBUPROFENO,100 mg,SUPOSITORIO,"No usar conjuntamente con otros analgesicos, su uso prolongado puede producir problemas gastrointestinales o hepaticos."
134,IBUPROFENO,10 g / 100 g,GEL,Si persisten los sintomas busque ayuda medica.
135,IBUPROFENO,50 mg / mL,GOTAS ORALES EN SUSPENSION,"No usar en ninos menores de dos anos. En los ninos mayores de dos anos no usar por mas de 48 horas. Puede producir problemas gastrointestinales, renales y hepaticos."
136,IBUPROFENO + N-BUTILBROMURO DE HIOSCINA,400 mg + 20 mg,TABLETA / COMPRIMIDOS RECUBIERTAS,"No usar en ninos menores de 2 anos. Puede producir problemas gastrointestinales, renales y hepaticos."
137,IBUPROFENO COMBINADO CON: VITAMINA B1 + VITAMINA B6 + VITAMINA B12 + IBUPROFENO,Hasta 400 mg de Ibuprofeno + 50 mg Vitamina B1 + 100 mg Vitamina B6 + 100 mcg Vitamina B12,CAPLETA,No superar la dosis recomendada. Si los sintomas persisten consultar a su medico.
138,IBUPROFENO + CAFEINA,Hasta 400 mg Ibuprofeno / 65 mg Cafeina,CAPSULA,"No usar conjuntamente con otros analgesicos, su uso prolongado puede producir problemas gastrointestinales o hepaticos. No ingerir mas de 1200 mg al dia."
139,LACTOBACILLUS ACIDOPHILUS,170 mg,POLVO PARA SOLUCION ORAL,No superar la dosis recomendada.
140,LACTOBACILLUS ACIDOPHILUS,170 mg,CAPSULA,No superar la dosis recomendada.
141,LACTULOSA,3.33 g / 5 mL,SOLUCION ORAL,"En caso de efecto terapeutico insuficiente despues de varios dias de tratamiento, se aconseja consultar al medico."
142,LEVONORGESTREL,1.5 mg,TABLETA / COMPRIMIDO,"Es un anticonceptivo de emergencia, no usar como metodo de planificacion familiar de rutina. Debe ingerirse preferiblemente antes de las 72 horas despues del coito, entre mas cerca de la hora del coito es mas eficaz. Puede tomarse hasta el 5 dia (120 horas) pero la eficacia se reduce."
143,LIDOCAINA,5 g / 100 g,GEL TOPICO / UNGUENTO TOPICO,No ingerir. Si los sintomas persisten consultar a su medico.
144,LIDOCAINA,100 mg / mL,SPRAY,No ingerir. Si los sintomas persisten consultar a su medico.
145,LOPERAMIDA,2 mg,TABLETA / COMPRIMIDO,No usar en menores de 12 anos. La dosis maxima es de 16 mg al dia. Si luego de 2 dias persisten los sintomas buscar atencion medica. La medida terapeutica mas importante es la administracion de fluidos apropiados y la reposicion de electrolitos (Sales de Rehidratacion Oral).
146,LOPERAMIDA,2 mg / mL,SOLUCION GOTAS ORALES,No usar en ninos menores de 12 anos. La dosis maxima es de 16 mg al dia. Si luego de 2 dias persisten los sintomas buscar atencion medica. La medida terapeutica mas importante es la administracion de liquidos apropiados y la reposicion de electrolitos (Sales de Rehidratacion Oral).
147,LORATADINA,10 mg,TABLETA / COMPRIMIDO,"Si el paciente empeora o los sintomas persisten despues de 7 dias de tratamiento, debe evaluarse la situacion clinica del paciente."
148,LORATADINA,5 mg / 5 mL,JARABE / SOLUCION ORAL,"Si el paciente empeora o los sintomas persisten despues de 7 dias de tratamiento, debe evaluarse la situacion clinica del paciente."
149,LORATADINA,1 mg / mL,SOLUCION GOTAS,"Si el paciente empeora o los sintomas persisten despues de 7 dias de tratamiento, debe evaluarse la situacion clinica del paciente."
150,LORATADINA / FENILEFRINA,5 mg + 5 mg / 5 mL,JARABE,"Si el paciente empeora o los sintomas persisten despues de 7 dias de tratamiento, consulte a su medico. No usar en hipertensos y cardiopatas."
151,MAGALDRATO + SIMETICONA,400 mg + 30 mg / 5 mL,SUSPENSION,Evitar el uso prolongado. Si persisten los sintomas buscar atencion medica.
152,MAGALDRATO + SIMETICONA,800 mg + 40 mg,COMPRIMIDO MASTICABLE,Si persisten los sintomas buscar atencion medica.
153,MECOBALAMINA,500 mcg,TABLETA / COMPRIMIDOS,No superar la dosis recomendada.
154,MELATONINA,3 mg,CAPSULA,Produce somnolencia.
155,MENTOL,[ILEGIBLE - celda tachada en el origen],UNGUENTO / CREMA,No ingerir.
156,MENTOL + SALICILATO DE METILO + EUCALIPTO,[ILEGIBLE - celda tachada en el origen],UNGUENTO / CREMA,No ingerir.
157,MENTOL + EXTO. FLUIDO DE TOLU + BENJUI + EUCALIPTO + GOMENOL,1 g + 10 mL + 10 mL + 10 mL + 1 mL / 100 mL,SOLUCION INHALANTE,No ingerir.
158,MICONAZOL,400 mg,OVULO,Si los sintomas persisten consultar a su medico.
159,MICONAZOL,2 g / 100 mL,SOLUCION TOPICA,No utilizar en ninos menores de 2 anos. Si persisten los sintomas luego de 5 dias buscar atencion medica.
160,MICONAZOL,2 g / 100 g,CREMA TOPICA,No utilizar en ninos menores de 2 anos. Si persisten los sintomas luego de 5 dias buscar atencion medica.
161,MICONAZOL,2 g / 100 g,CREMA VAGINAL,No utilizar en ninos menores de 2 anos. Si persisten los sintomas luego de 5 dias buscar atencion medica.
162,MICONAZOL,2 g / 100 g,POLVO,No utilizar en ninos menores de 2 anos. Si persisten los sintomas luego de 5 dias buscar atencion medica.
163,NAPROXENO SODICO,275 mg,CAPSULA / TABLETA / COMPRIMIDOS,"Uso en mayores de 16 anos, la dosis maxima es de 600 mg. Puede incrementar riesgo de problemas hepaticos, renales y gastrointestinales. No usar conjuntamente con otros analgesicos, sin prescripcion medica."
164,NAPROXENO SODICO,5.5 g / 100 g,GEL TOPICO,"Uso en mayores de 16 anos, la dosis maxima es de 600 mg. Puede incrementar riesgo de problemas hepaticos, renales y gastrointestinales. No usar conjuntamente con otros analgesicos, sin prescripcion medica."
165,NICOTINA RESINATO,10 mg (Equiv. A 4 mg de Nicotina),TABLETA / COMPRIMIDOS DE GOMA MASTICABLE,No usar en menores de 18 anos sin prescripcion medica.
166,NISTATINA,"100,000 UI",CREMA TOPICA,No ingerir. Si los sintomas persisten consultar a su medico.
167,OMEGA 3,1200 mg,CAPSULAS BLANDAS DE GELATINA,No superar la dosis recomendada.
168,OXIDO DE ZINC,[ILEGIBLE - celda tachada en el origen],LOCION,No ingerir.
169,OXIDO DE ZINC,[ILEGIBLE - celda tachada en el origen],CREMA DERMICA,No ingerir.
170,OXIMETAZOLINA,0.50 mg / mL,SOLUCION NASAL,No usar en menores de 6 anos. No superar la dosis recomendada. Si los sintomas persisten consultar a su medico.
171,OXIMETAZOLINA + DEXPANTENOL,0.50 mg + 20.33 mg / 3 mL,SOLUCION NASAL,No usar en menores de 6 anos. No superar la dosis recomendada. Si los sintomas persisten consultar a su medico.
172,PANCREATINA,400 mg,CAPSULA / TABLETAS / GRAGEAS / COMPRIMIDOS,No superar la dosis recomendada. Si los sintomas persisten por mas de 5 dias consultar a su medico.
173,PANCREATINA + DIMETILPOLISILOXANO + BROMOPRIDE,400 mg + 80 mg + 5 mg,CAPSULA / TABLETAS / GRAGEAS / COMPRIMIDOS,No superar la dosis recomendada. Si los sintomas persisten por mas de 5 dias consultar a su medico.
174,PANCREATINA + SIMETICONA,600 mg + 80 mg,CAPSULA / TABLETAS / GRAGEAS / COMPRIMIDOS,No superar la dosis recomendada. Si los sintomas persisten por mas de 5 dias consultar a su medico.
175,PERMETRINA,1 g / 100 mL,SHAMPOO / LOCION,No ingerir.
176,PEROXIDO DE BENZOILO,5 g / 100 g,JABON PASTA,No ingerir.
177,PEROXIDO DE BENZOILO,5 g / 100 g,GEL,No ingerir.
178,PIRIDOXINA + DOXILAMINA,10 mg + 10 mg,TABLETA / COMPRIMIDOS ENTERICOS,No superar la dosis recomendada.
179,PIROXICAM,0.5 g / 100 g,GEL,Si persisten los sintomas buscar atencion medica.
180,POLIETILENGLICOL 400 + PROPILENGLICOL,4.0 mg + 3.0 mg / 1 mL,SOLUCION OFTALMICA ESTERIL,No superar la dosis recomendada. Si persisten los sintomas buscar atencion medica.
181,PRAMOXINA + ACETATO DE ZINC,1 g + 0.1 g / 100 mL,LOCION,No ingerir.
182,RUSCUS ACULEATUS + ACIDO ASCORBICO (VITAMINA C) + LACTOBACILLUS SPOROGENES,20.00 mg + 40.00 mg + 8.300 mg,TABLETA / COMPRIMIDOS MASTICABLES,No superar la dosis recomendada.
183,SACCHAROMYCES BOULARDII,200 mg,CAPSULA,No superar la dosis recomendada.
184,SACCHAROMYCES BOULARDII,250 mg,POLVO PARA SUSPENSION / SOLUCION ORAL,No superar la dosis recomendada.
185,SALES DE REHIDRATACION ORAL,SEGUN FORMULA OMS: POR CADA LITRO (1000 mL) CLORURO DE SODIO 2.6 g / GLUCOSA ANHIDRA 13.5 g / CLORURO DE POTASIO 1.5 g / CITRATO TRISODICO 2.9 g,POLVO PARA SOLUCION ORAL / SOLUCION ORAL,"Si persiste la diarrea luego de 24 horas, se incrementan las deposiciones o presenta fiebre o datos de deshidratacion acudir al medico."
186,SILIMARINA,200 mg,TABLETA / COMPRIMIDO / CAPSULA / GRAGEA,Para ingesta por largos periodos de tiempo requiere indicacion medica.
187,SIMETICONA,Hasta 125 mg,TABLETA / COMPRIMIDOS MASTICABLES,Si los sintomas persisten consultar a su medico.
188,SIMETICONA,Hasta 100 mg / mL,SUSPENSION / SUSPENSION EN GOTAS,Si los sintomas persisten consultar a su medico.
189,SUBSALICILATO DE BISMUTO,87.33 mg / 5 mL,SUSPENSION ORAL,No superar la dosis recomendada. Si los sintomas persisten consultar a su medico. No utilizar en pacientes alergicos a la acido acetil salicilico.
190,SULFADIAZINA DE PLATA,1 g / 100 g,CREMA,"No ingerir, uso topico."
191,SULFADIAZINA DE PLATA,1 g / 100 g,POLVO,"No ingerir, uso topico."
192,SULFADIAZINA DE PLATA + PRAMOXINA + OXIDO DE ZINC + VITAMINA A + VITAMINA E,10 mg + 10 mg + 100 mg + 250 U.I. + 30 U.I. / g,CREMA TOPICA,"No ingerir, uso topico."
193,TETRAHIDROZOLINA,0.50 mg / mL,SOLUCION OFTALMICA,"Uso en ninos mayores de 6 anos no superar la dosis recomendada, si persisten los sintomas consulte a su medico. No utilizar con pacientes con glaucoma."
194,TOLNAFTATO,1 g / 100 mL,SOLUCION,Uso topico. No ingerir. Si los sintomas persisten consultar a su medico.
195,TOLNAFTATO,1 g / 100 g,POLVO,Uso topico. No ingerir. Si los sintomas persisten consultar a su medico.
196,TOLNAFTATO,1 g / 100 g,CREMA,Uso topico. No ingerir. Si los sintomas persisten consultar a su medico.
197,TOLNAFTATO + ALANTOINA,1 g + 0.2 g / 100 g,POLVO,Uso topico. No ingerir. Si los sintomas persisten consultar a su medico.
198,TRICLOSAN,0.1 g / 100 g,POLVO,Uso topico. No ingerir. Si los sintomas persisten consultar a su medico.
199,VITAMINA A PALMITATO + VITAMINA D3 + OXIDO DE ZINC,[ILEGIBLE - celda tachada en el origen],UNGUENTO / CREMA,No superar la dosis recomendada.
200,VITAMINA B1 + VITAMINA B6 + VITAMINA B12,50 mg + 50 mg + 200 mcg / 15 mL,JARABE,No superar la dosis recomendada.
201,VITAMINA B1 + VITAMINA B6 + VITAMINA B12,100 mg + 100 mg + 200 mcg,TABLETA / COMPRIMIDOS RECUBIERTAS / CAPSULAS / CAPLETAS,No superar la dosis recomendada.
202,VITAMINA B12 + ACIDO FOLICO,0.50 mg + 5.0 mg,TABLETA / COMPRIMIDO,No superar la dosis recomendada.
203,VITAMINA B12 + ACIDO FOLICO,250 mcg + 2.5 mg / 5 mL,SOLUCION ORAL,No superar la dosis recomendada.
204,VITAMINA E (ALFATOCOFERIL ACETATO),400 UI,CAPSULA BLANDAS,No superar la dosis recomendada.
205,VITAMINA E + EXTRACTO DE ALOE,[ILEGIBLE - celda tachada en el origen],UNGUENTO / CREMA,No superar la dosis recomendada.
206,"VITAMINAS, MINERALES Y AMINOACIDOS EN COMBINACION",NO DEBE EXCEDER EL 150 % DE LA DOSIS DIARIA RECOMENDADA,TABLETAS / COMPRIMIDOS / JARABE / SOLUCION ORAL / POLVO,No superar la dosis recomendada.
207,XILOMETAZOLINA,1 mg / mL,SOLUCION NASAL / SOLUCION NASALSPRAY DOSIFICADOR,No superar la dosis recomendada. Usar con precaucion en hipertensos.
